datetime,open,high,low,close,volume
20210301,201.0,210.99,197.5,210.9,444293.51
20210302,214.65,215.8,205.22,211.4,387928.35
20210303,205.0,210.3,201.97,209.75,263061.8
20210304,205.0,205.1,197.3,198.5,346849.91
20210305,187.37,199.51,186.18,196.37,325319.09
20210308,196.37,197.33,176.73,176.73,591328.23
20210309,172.41,178.6,162.03,170.68,599204.95
20210310,180.0,181.88,175.78,177.19,431507.17
20210311,176.95,185.0,174.1,182.97,367827.9
20210312,186.17,187.99,178.9,181.68,301848.22
20210315,178.55,181.0,172.0,174.26,295602.39
20210316,177.58,179.1,173.37,176.47,197056.4
20210317,174.02,179.97,171.48,176.88,213705.28
20210318,178.79,180.63,177.28,178.55,201064.37
20210319,173.0,175.37,169.66,171.15,258227.22
20210322,172.33,175.48,170.01,173.8,185682.91
20210323,175.8,176.18,166.3,168.97,226648.97
20210324,167.99,169.24,162.0,162.74,248269.3
20210325,157.0,163.45,155.6,161.2,256190.64
20210326,163.01,172.0,162.9,170.99,328530.32
20210329,170.01,170.48,164.8,168.1,234728.64
20210330,161.0,169.0,159.1,169.0,338930.9
20210331,169.21,172.64,162.56,164.51,270153.03
20210401,168.0,171.9,167.01,169.07,299957.8
20210402,170.99,178.2,168.58,175.87,349532.0
20210406,176.8,179.24,172.8,176.09,255909.85
20210407,177.15,178.08,169.5,170.99,281703.5
20210408,169.0,171.5,167.12,170.48,160043.06
20210409,171.9,172.1,166.0,166.72,204995.77
20210412,166.73,169.39,162.6,163.46,201268.0
20210413,163.48,167.63,163.48,164.01,158578.94
20210414,167.0,171.0,167.0,170.95,298473.17
20210415,168.5,168.65,163.5,165.5,249912.13
20210416,165.4,166.4,160.33,165.3,234599.44
20210419,165.0,177.0,164.18,176.05,507350.5
20210420,175.0,175.0,169.78,171.24,375677.03
20210421,169.0,170.59,167.17,168.59,230488.88
20210422,170.0,171.78,167.22,168.71,197508.44
20210423,167.18,171.38,166.27,169.25,228827.99
20210426,170.0,173.0,167.25,167.5,319514.1
20210427,166.0,167.4,163.4,164.94,255639.21
20210428,164.86,168.54,162.96,165.5,218411.98
20210429,163.0,164.93,162.2,162.95,275854.04
20210430,161.49,162.2,156.71,158.57,359899.14
20210506,157.0,157.0,150.0,150.0,423158.08
20210507,148.12,149.96,143.39,143.95,377980.38
20210510,143.95,148.35,141.44,147.0,260738.75
20210511,143.7,148.76,140.97,146.56,269639.96
20210512,148.26,155.0,148.26,153.73,384659.14
20210513,150.75,151.0,148.56,148.99,212696.09
20210514,147.9,154.1,146.31,153.53,300278.66
20210517,155.43,160.88,154.45,159.78,363002.56
20210518,160.0,161.8,156.88,158.7,194952.12
20210519,159.9,174.0,159.88,172.78,596490.87
20210520,170.0,177.56,169.1,172.94,499888.48
20210521,174.01,177.99,170.1,173.2,334965.51
20210524,171.91,175.5,169.98,173.47,271722.87
20210525,175.0,178.0,172.7,176.52,331522.87
20210526,178.0,184.58,176.0,176.17,345577.99
20210527,179.0,179.68,174.5,177.45,234026.1
20210528,177.45,185.0,176.07,181.68,371194.87
20210531,175.26,179.11,170.18,178.7,437553.16
20210601,178.73,190.9,178.73,189.46,513604.12
20210602,190.0,191.85,185.2,186.5,294349.64
20210603,186.6,187.5,180.18,183.9,250800.57
20210604,181.61,192.0,180.52,189.4,319848.39
20210607,191.0,192.87,187.0,190.35,254518.02
20210608,194.0,205.6,193.25,202.81,559238.56
20210609,202.9,203.5,197.02,202.0,316555.82
20210610,202.05,216.05,201.0,214.11,441000.32
20210611,214.3,229.95,212.08,227.02,540085.11
20210615,231.54,237.8,224.87,232.32,518100.75
20210616,226.0,231.66,210.66,211.0,618175.9
20210617,210.96,232.1,210.83,232.1,519977.58
20210618,236.0,252.32,234.65,245.0,571896.01
20210621,243.88,249.56,232.13,242.58,430526.35
20210622,243.0,247.0,236.0,237.88,316428.08
20210623,233.0,249.8,232.5,243.3,394500.6
20210624,244.0,251.87,240.18,244.89,312285.04
20210625,247.0,248.66,238.0,244.99,296502.36
20210628,244.99,255.0,243.52,253.63,347271.98
20210629,257.4,259.6,250.0,253.3,306257.54
20210630,250.0,256.5,246.0,251.0,285407.31
20210701,251.0,252.5,235.6,236.6,422602.87
20210702,233.0,243.5,228.89,239.04,374260.13
20210705,236.04,250.0,235.57,249.55,324901.16
20210706,255.0,261.02,241.0,250.5,517916.7
20210707,244.0,258.6,240.88,255.09,386386.56
20210708,253.0,261.54,251.12,251.96,393909.95
20210709,250.88,254.99,241.88,248.82,364946.99
20210712,253.3,272.91,251.5,266.48,560057.08
20210713,266.49,269.73,260.22,265.1,277313.91
20210714,261.0,261.0,245.0,245.29,612716.86
20210715,239.0,243.55,230.0,236.4,551898.67
20210716,235.75,235.75,221.03,222.92,562741.48
20210719,220.0,231.99,214.3,223.97,372187.23
20210720,220.0,229.46,219.11,227.5,246749.66
20210721,231.2,244.99,230.01,241.23,471511.19
20210722,246.3,249.44,240.17,248.96,374773.27
20210723,247.44,262.0,245.08,258.68,460562.27
20210726,250.58,259.74,241.01,248.55,404428.24
20210727,246.0,257.88,237.2,238.71,377707.2
20210728,229.99,241.1,223.99,236.5,332198.63
20210729,246.94,257.3,242.82,257.2,428851.05
20210730,257.19,268.3,252.13,264.71,457993.99
20210802,276.0,291.18,273.3,291.18,622259.03
20210803,299.0,299.0,275.01,280.08,489348.53
20210804,283.01,308.09,282.0,308.09,534306.39
20210805,301.0,306.25,294.87,299.46,368822.91
20210806,313.0,317.3,298.5,303.48,453626.27
20210809,295.0,297.4,283.0,293.55,341620.79
20210810,293.56,302.31,282.0,292.0,331035.16
20210811,289.0,298.83,286.16,294.99,263993.95
20210812,293.0,313.38,289.37,308.98,382778.98
20210813,303.0,312.5,297.99,300.02,246906.46
20210816,297.0,297.0,285.0,285.4,305067.01
20210817,283.45,290.5,278.0,280.31,272058.4
20210818,285.41,288.09,278.19,283.66,221723.02
20210819,283.66,298.68,278.57,293.72,361671.79
20210820,289.0,293.6,282.0,285.09,247173.2
20210823,281.5,294.44,275.55,289.8,295826.87
20210824,292.79,302.0,290.05,298.25,274399.06
20210825,297.8,299.8,291.0,296.2,179145.38
20210826,297.0,298.77,282.5,282.5,263681.59
20210827,280.99,296.03,280.0,288.15,262889.3
20210830,277.44,288.0,273.96,281.97,419092.34
20210831,286.88,286.88,266.55,277.0,329668.34
20210901,277.0,277.97,257.6,266.3,287674.22
20210902,267.01,271.99,262.7,267.0,165244.43
20210903,267.01,271.0,250.4,254.11,287964.13
20210906,259.99,279.0,259.0,277.6,397788.81
20210907,277.6,281.11,273.27,275.95,207633.53
20210908,277.9,279.28,268.61,269.59,182578.06
20210909,272.0,279.58,265.8,271.71,216256.41
20210910,271.71,272.53,262.64,265.61,238757.36
20210913,268.33,271.98,259.18,261.36,213491.79
20210914,261.39,276.0,257.06,269.23,354690.0
20210915,267.89,270.0,260.0,261.15,218809.11
20210916,261.15,264.77,250.53,251.0,220809.71
20210917,253.0,257.0,250.49,255.12,139421.07
20210922,248.0,251.44,244.03,247.2,163412.86
20210923,253.83,257.52,248.88,249.92,149784.18
20210924,250.96,257.5,247.0,251.77,158267.0
20210927,254.0,257.49,246.8,252.5,179990.94
20210928,251.9,253.82,246.29,246.86,162444.38
20210929,243.0,244.88,235.0,236.0,245554.81
20210930,238.2,249.7,237.2,249.51,225038.01
20211008,257.98,259.98,250.0,253.0,194103.95
20211011,253.1,263.1,248.0,255.75,211972.73
20211012,255.0,262.9,253.01,257.01,211651.34
20211013,257.01,273.6,254.33,271.2,321978.1
20211014,271.0,275.99,268.14,272.94,177799.32
20211015,275.0,287.5,271.0,283.33,287845.05
20211018,284.25,288.63,280.04,285.92,216213.78
20211019,288.0,294.91,284.0,284.79,193857.85
20211020,286.0,295.0,285.24,290.6,217045.09
20211021,291.0,292.6,284.01,287.01,180625.75
20211022,292.2,301.0,289.0,300.0,336548.68
20211025,303.11,318.65,302.23,317.35,335189.76
20211026,330.5,333.33,317.76,319.01,313244.34
20211027,313.0,326.73,311.28,321.74,219067.77
20211028,319.61,323.8,305.4,307.98,298267.14
20211029,305.13,313.76,293.77,311.31,347159.58
20211101,301.41,308.41,293.82,302.0,284785.87
20211102,310.0,319.8,307.64,313.88,290087.4
20211103,313.13,313.85,299.86,303.01,197248.14
20211104,311.13,329.0,309.03,325.0,349964.34
20211105,324.0,327.0,313.01,314.0,194183.26
20211108,308.09,319.61,307.0,315.0,169849.47
20211109,315.05,329.97,315.05,320.69,203305.04
20211110,314.0,315.6,301.58,310.26,274878.5
20211111,313.0,316.99,308.05,311.99,138851.5
20211112,315.8,316.74,305.5,306.78,148883.82
20211115,306.78,306.78,290.44,294.94,225372.24
20211116,294.0,297.69,288.0,293.51,151808.48
20211117,300.0,303.24,294.0,296.85,163377.75
20211118,294.8,298.88,290.0,295.4,129097.22
20211119,295.72,300.0,288.0,296.82,175158.64
20211122,298.4,311.51,298.2,311.0,287020.45
20211123,307.88,309.73,303.98,308.48,150362.57
20211124,305.43,309.6,301.0,303.2,141938.17
20211125,303.2,304.49,291.3,298.0,170971.44
20211126,295.0,304.77,294.05,297.66,122493.93
20211129,291.8,307.07,289.93,304.46,200156.75
20211130,307.0,308.0,303.0,304.7,131788.26
20211201,305.2,307.5,300.38,305.32,108278.64
20211202,305.0,314.06,303.1,308.8,180072.11
